N° BCE,Organisation publique,Catégorie,Nom du bâtiment,Adresse,Indice d’émission de CO2 [kg éq CO2/(m².an)],Niveau de performance énergétique [kWhEP/(m².an)],Classe
"0208.312.646,0314.595.348","Régie Des Bâtiments,SPF Economie, PME, Classes moyennes et Energie",1 - Services administratifs,Régie des bâtiments,"Avenue de la Toison d'Or 87, 1060 Saint-Gilles",67.75,414.97,D-
"0851.014.256,0858.344.981","Comité européen des régions,Comité économique et social européen",1 - Services administratifs,REM,"Rue Belliard 93, 1040 Bruxelles",24.27,147.04,B
0212.347.747,CPAS Molenbeek - Saint - Jean,"8 - Maisons de repos, maisons de revalidation et de soins et services similaires, établissements pénitentiaires",Résidence Arcadia,"Rue Ferdinand Elbers 20, 1080 Molenbeek-Saint-Jean",54.06,311.10,C-
0212.347.450,CPAS d'Ixelles,"8 - Maisons de repos, maisons de revalidation et de soins et services similaires, établissements pénitentiaires",Résidence heures Douces,"Rue Victor Greyson 53, 1050 Ixelles",69.52,404.91,D
0212.348.341,Centre Public d'Action Sociale de Woluwe-Saint-Pierre,"8 - Maisons de repos, maisons de revalidation et de soins et services similaires, établissements pénitentiaires",Résidence Roi Baudouin,"Clos des Chasseurs 2, 1150 Woluwe-Saint-Pierre",50.41,293.11,C-
0212.347.450,CPAS d'Ixelles,"8 - Maisons de repos, maisons de revalidation et de soins et services similaires, établissements pénitentiaires",Résidence Van Aa,"Chaussée de Boondael 104, 1050 Ixelles",40.34,241.29,C+
0869.909.460,Police Fédérale,1 - Services administratifs,Rijksadministratief centrum,"Rue Royale 202A, 1000 Bruxelles",61.85,378.78,D
0458.880.274,Haute Ecole Galilée - HEG,5 - Enseignement supérieur,Rue Royale 336,"Rue Royale 336, 1030 Schaerbeek",31.23,188.73,C-
0207.366.501,Commune de Molenbeek-Saint-Jean,"13 - Ateliers, centres funéraires, dépôts, ...",Salle des fêtes du Sippelberg ,"Avenue du Sippelberg 1, 1080 Molenbeek-Saint-Jean",33.19,199.68,C-
0207.365.709,Administration Communale d'Evere,10 - Centres sportifs,Salle de sport Aubier,"Rue des Deux Maisons 34, 1140 Evere",43.45,249.52,C+
0207.372.637,AC Watermael-Boitsfort,1 - Services administratifs,Sanctions administratives,"Place A. Payfa-Fosséprez 13, 1170 Watermael-Boitsfort",14.96,86.60,B+
0949.383.342,Commission européenne,1 - Services administratifs,SC11,"Rue de la Science 11, 1000 Bruxelles",49.97,304.10,C-
